Ward,Suburb,Property_Code,Park_Name,Node_Id,Node_Name,Item_Id,Item_Type,Item_Description,Latitude,Longitude,Easting,Northing
THE GAP,BARDON,D0178,BOWMAN PARK,19625,SIMPSONS RD PICNIC AREA,44725,TAP COMBINATION,Bubbler & Tap,-27.45900389,152.9780587,497832,6962724
THE GAP,BARDON,D0182,JUBILEE PARK,19600,JUBILEE PK PLAYGROUND,69729,TAP COMBINATION,Bubbler & Tap,-27.45215211,152.9813187,498154,6963483
THE GAP,BARDON,D0183,FLETCHER PARADE PARK (NOS.161-231),19595,FLETCHER PDE PICNIC AREA,111182,TAP COMBINATION,Bubbler & 2 taps,-27.45153814,152.9808432,498107,6963551
THE GAP,BARDON,D0183,FLETCHER PARADE PARK (NOS.161-231),19591,BARDON LIONS PK PLAYGROUND,111149,TAP COMBINATION,Bubbler & 2 taps,-27.45123126,152.9813897,498161,6963585
THE GAP,ENOGGERA RESVR,D2332,ENOGGERA RESERVOIR PARK,33657,BALANCE OF PARK,191414,BUBBLER/DRINKING FOUNTAIN,NULL,-27.44176992,152.9267186,492758,6964631
THE GAP,NEWMARKET,D1316,FREE STREET PARK,29395,FREE ST PICNIC AREA,80874,TAP COMBINATION,Bubbler & Tap,-27.44438021,153.002803,500277,6964344
THE GAP,RED HILL,D0191,GILBERT PARK,12489,KENWYN RD DOG OFF LEASH AREA,38021,TAP COMBINATION,"Bubbler, tap & dog bowl",-27.44936367,152.9971463,499718,6963792
THE GAP,RED HILL,D0191,GILBERT PARK,12491,KENWYN RD PLAYGROUND,31658,TAP COMBINATION,Bubbler & Tap,-27.44909284,152.9973487,499738,6963822
THE GAP,RED HILL,D0192,WOOLCOCK PARK,26662,WOOLCOCK PK PICNIC AREA,36819,BUBBLER/DRINKING FOUNTAIN,Diabled access Bubbler,-27.44882202,152.9989374,499895,6963852
THE GAP,RED HILL,D0192,WOOLCOCK PARK,12476,WOOLCOCK PK PLAYGROUND,28722,BUBBLER/DRINKING FOUNTAIN,Bubbler - Disabled Access,-27.44940884,152.9991803,499919,6963787
THE GAP,RED HILL,D0192,WOOLCOCK PARK,12479,BALANCE OF PARK,22925,TAP COMBINATION,Bubbler & 2 taps,-27.44900258,152.99915,499916,6963832
THE GAP,RED HILL,D0192,WOOLCOCK PARK,12479,BALANCE OF PARK,22924,TAP COMBINATION,Bubbler & 2 taps,-27.44971579,152.9992208,499923,6963753
THE GAP,THE GAP,D0140,PATEN PARK,19511,PATEN PK DOG OFF LEASH AREA,30689,TAP COMBINATION,"Bubbler, tap & dog bowl",-27.45205495,152.9524163,495298,6963493
THE GAP,THE GAP,D0140,PATEN PARK,19511,PATEN PK DOG OFF LEASH AREA,52744,TAP COMBINATION,Bubbler & 2 taps,-27.45171204,152.9528617,495342,6963531
THE GAP,THE GAP,D0140,PATEN PARK,19514,PATEN PK PLAYGROUND,17059,TAP COMBINATION,Bubbler & Tap,-27.45163091,152.953216,495377,6963540
THE GAP,THE GAP,D0141,ALFRED & LUCINDA BEST PARK,29149,ALFRED & LUCINDA BEST PK ACTIVITY SPACE,88709,TAP COMBINATION,Bubbler & 2 taps,-27.44876018,152.9537636,495431,6963858
THE GAP,THE GAP,D0155,CORRAMULLING PARK,19470,YOORALA ST PLAYGROUND,48583,TAP COMBINATION,Bubbler & 2 taps,-27.4482542,152.9309544,493177,6963913
THE GAP,THE GAP,D0155,CORRAMULLING PARK,30187,CORRAMULLING PK HALF COURT,22458,TAP COMBINATION,Bubbler & Tap,-27.4497486,152.9413666,494206,6963748
THE GAP,THE GAP,D0160,WALTON BRIDGE RESERVE,19450,BALANCE OF PARK,42881,TAP COMBINATION,Bubbler & Tap,-27.4457088,152.954028,495457,6964196
THE GAP,THE GAP,D0160,WALTON BRIDGE RESERVE,19454,POLICE STATION PICNIC AREA,45873,TAP COMBINATION,Bubbler & Tap,-27.44467963,152.9541094,495465,6964310
THE GAP,THE GAP,D0160,WALTON BRIDGE RESERVE,19454,POLICE STATION PICNIC AREA,42882,TAP COMBINATION,Bubbler & Tap,-27.44488733,152.9542712,495481,6964287
THE GAP,THE GAP,D0160,WALTON BRIDGE RESERVE,19748,WATERWORKS RD PICNIC AREA,5188,TAP COMBINATION,Bubbler & Tap,-27.4448515,152.9551314,495566,6964291
THE GAP,THE GAP,D0160,WALTON BRIDGE RESERVE,19450,BALANCE OF PARK,44647,TAP COMBINATION,Bubbler & Tap,-27.44579041,152.955131,495566,6964187
THE GAP,THE GAP,D0637,WITTONGA PARK,19405,ALUTHA RD DOG OFF LEASH AREA,44777,TAP COMBINATION,"Bubbler, tap & dog bowl",-27.43969614,152.9319615,493276,6964861
THE GAP,THE GAP,D0637,WITTONGA PARK,19405,ALUTHA RD DOG OFF LEASH AREA,29910,TAP COMBINATION,Bubbler & Tap,-27.4399581,152.9322649,493306,6964832
THE GAP,THE GAP,D0637,WITTONGA PARK,19408,BALANCE OF PARK,88304,TAP COMBINATION,Bubbler & 2 taps,-27.43980489,152.9328316,493362,6964849
THE GAP,THE GAP,D0637,WITTONGA PARK,19408,BALANCE OF PARK,80309,TAP COMBINATION,Bubbler & 2 taps,-27.43885762,152.9342286,493500,6964954
THE GAP,THE GAP,D0637,WITTONGA PARK,19408,BALANCE OF PARK,32189,TAP COMBINATION,Bubbler & Tap,-27.43915577,152.934704,493547,6964921
THE GAP,THE GAP,D0786,TILQUIN STREET PARK,19351,TILQUIN ST PLAYGROUND,88368,TAP COMBINATION,Bubbler & 2 taps,-27.43651533,152.945846,494648,6965214
THE GAP,THE GAP,D0851,RON WARD PARK,19337,RON WARD PK PLAYGROUND,88358,TAP COMBINATION,Bubbler & Tap,-27.43198169,152.9419629,494264,6965716
THE GAP,THE GAP,D1015,ALAN WILLING PLACE PARK,19363,ALAN WILLING PLAYGROUND,10826,TAP COMBINATION,Bubbler & Tap,-27.44794935,152.9591678,495965,6963948
THE GAP,THE GAP,D1155,ALLAMANDA STREET PARK,19263,BALANCE OF PARK,2945,TAP COMBINATION,Bubbler & Tap,-27.45006187,152.935244,493601,6963713
THE GAP,THE GAP,D1809,BADRICK PARK,19223,INWOOD PLACE PLAYGROUND,88234,TAP COMBINATION,Bubbler & 2 taps,-27.43227831,152.9389071,493962,6965683
THE GAP,THE GAP,D1844,DONEGAL PLACE PARK,19218,BALANCE OF PARK,88228,TAP COMBINATION,Bubbler & Tap,-27.43298371,152.9417296,494241,6965605
TOOWONG,AUCHENFLOWER,D0474,MOORLANDS PARK,19774,MOORLANDS PK PLAYGROUND,110585,TAP COMBINATION,Bubbler & 2 taps,-27.47898453,152.9972771,499731,6960511
TOOWONG,AUCHENFLOWER,D0475,REGATTA PARK,19769,REGATTA FERRY TERMINAL,12825,BUBBLER/DRINKING FOUNTAIN,Bubbler,-27.48305614,152.9966899,499673,6960060
TOOWONG,AUCHENFLOWER,D0475,REGATTA PARK,19768,BALANCE OF PARK,110572,TAP COMBINATION,Bubbler & Tap,-27.48118736,152.9975402,499757,6960267
TOOWONG,AUCHENFLOWER,D0476,DUNMORE PARK,19757,DUNMORE PK PLAYGROUND,110680,TAP COMBINATION,Bubbler & 2 taps,-27.47484071,152.9987449,499876,6960970
TOOWONG,BARDON,D0466,NORMAN BUCHAN PARK,19833,RAINWORTH RD PLAYGROUND,42990,TAP COMBINATION,Bubbler & Tap,-27.46619148,152.9891906,498932,6961928
TOOWONG,BARDON,D0466,NORMAN BUCHAN PARK,26682,BAROONA RD PICNIC AREA,5891,TAP COMBINATION,Bubbler & Tap,-27.46557761,152.9896461,498977,6961996
TOOWONG,BARDON,D0473,RAINWORTH PARK,29831,RAINWORTH PK PICNIC AREA,110917,TAP COMBINATION,Bubbler & 2 taps,-27.46700337,152.9829153,498312,6961838
TOOWONG,BRISBANE,D0070,HARDGRAVE PARK,12633,BALANCE OF PARK,19053,BUBBLER/DRINKING FOUNTAIN,Drinking Fountain - Victorian,-27.46244452,153.0146044,501443,6962343
TOOWONG,BRISBANE,D0070,HARDGRAVE PARK,12633,BALANCE OF PARK,34555,TAP COMBINATION,Bubbler & Tap,-27.46244452,153.0146044,501443,6962343
TOOWONG,BRISBANE,D0070,HARDGRAVE PARK,12633,BALANCE OF PARK,91022,TAP COMBINATION,Bubbler & Tap,-27.46240839,153.014746,501457,6962347
TOOWONG,BRISBANE,D0070,HARDGRAVE PARK,12633,BALANCE OF PARK,91019,TAP COMBINATION,Bubbler & Tap,-27.46178545,153.0148371,501466,6962416
TOOWONG,BRISBANE,D0104,E. E. MCCORMICK PLACE,12498,BALANCE OF PARK,132612,TAP COMBINATION,Bubbler & 2 taps,-27.46705778,153.0149997,501482,6961832
TOOWONG,BRISBANE,D0104,E. E. MCCORMICK PLACE,12498,BALANCE OF PARK,141261,TAP COMBINATION,Bubbler & 2 taps,-27.46632647,153.0154146,501523,6961913
TOOWONG,KELVIN GROVE,D0197,BANCROFT PARK,24067,BANCROFT PK PICNIC AREA,44297,BUBBLER/DRINKING FOUNTAIN,Bubbler,-27.44409122,153.0057477,500568,6964376
TOOWONG,KELVIN GROVE,D0197,BANCROFT PARK,12464,BANCROFT PK DOG OFF LEASH AREA,30712,TAP COMBINATION,"Bubbler, tap & dog bowl",-27.44362174,153.0063042,500623,6964428
TOOWONG,KELVIN GROVE,D0744,MARSHALL PARK,12443,MARSHALL PK PLAYGROUND,44333,BUBBLER/DRINKING FOUNTAIN,Bubbler,-27.4536064,153.011385,501125,6963322
TOOWONG,MILTON,D0477,MILTON PARK,19754,MILTON PK PICNIC AREA,180960,BUBBLER/DRINKING FOUNTAIN,NULL,-27.47065173,153.0010729,500106,6961434
TOOWONG,MILTON,D0477,MILTON PARK,19754,MILTON PK PICNIC AREA,42986,TAP COMBINATION,Bubbler & Tap,-27.47066076,153.0010526,500104,6961433
TOOWONG,MILTON,D0477,MILTON PARK,19749,MILTON PK DOG OFF LEASH AREA,30673,TAP COMBINATION,"Bubbler, tap & dog bowl",-27.4712566,153.0011033,500109,6961367
TOOWONG,MILTON,D1639,PARK ROAD PARK,19651,BALANCE OF PARK,110643,BUBBLER/DRINKING FOUNTAIN,cone type,-27.47069681,153.0042106,500416,6961429
TOOWONG,MILTON,D2112,BEDGOOD PARK,22823,BEDGOOD PK PLAYGROUND,172951,BUBBLER/DRINKING FOUNTAIN,Diabled access Bubbler,-27.46250838,153.0052628,500520,6962336
TOOWONG,MT COOT-THA,D0249,MT COOT-THA RESERVE,19963,MT COOT-THA SUMMIT LOOKOUT,10371,BUBBLER/DRINKING FOUNTAIN,Drinking Fountain,-27.48481958,152.9588505,495935,6959864
TOOWONG,MT COOT-THA,D0249,MT COOT-THA RESERVE,19945,HOOP PINE TOILET,25704,BUBBLER/DRINKING FOUNTAIN,Drinking Fountain,-27.46785879,152.9697271,497009,6961743
TOOWONG,MT COOT-THA,D0249,MT COOT-THA RESERVE,21583,GAP CREEK PICNIC AREA,47956,TAP COMBINATION,Bubbler & Tap,-27.47864144,152.928992,492985,6960547
TOOWONG,MT COOT-THA,D0249,MT COOT-THA RESERVE,19957,RANGE VIEW PICNIC AREA,150141,TAP COMBINATION,Bubbler & 2 taps,-27.46993531,152.9416191,494232,6961512
TOOWONG,MT COOT-THA,D0249,MT COOT-THA RESERVE,19941,GREY GUM PICNIC AREA,33616,TAP COMBINATION,Bubbler & Tap,-27.46803151,152.9443124,494498,6961723
TOOWONG,MT COOT-THA,D0249,MT COOT-THA RESERVE,19941,GREY GUM PICNIC AREA,28810,TAP COMBINATION,Bubbler & Tap,-27.46800458,152.9447071,494537,6961726
TOOWONG,MT COOT-THA,D0249,MT COOT-THA RESERVE,19946,THE HUT ENVIRONMENTAL CENTRE,155250,TAP COMBINATION,Bubbler & 2 taps,-27.4934095,152.945231,494590,6958912
TOOWONG,MT COOT-THA,D0249,MT COOT-THA RESERVE,19954,GOLD MINE PICNIC AREA,150110,TAP COMBINATION,Bubbler & 2 taps,-27.47473084,152.9457565,494641,6960981
TOOWONG,MT COOT-THA,D0249,MT COOT-THA RESERVE,19960,SIMPSON FALLS PICNIC AREA,150435,TAP COMBINATION,Bubbler & Tap,-27.46706107,152.9572984,495781,6961831
TOOWONG,MT COOT-THA,D0249,MT COOT-THA RESERVE,19960,SIMPSON FALLS PICNIC AREA,150429,TAP COMBINATION,Bubbler & Tap,-27.4675125,152.9573995,495791,6961781
TOOWONG,MT COOT-THA,D0249,MT COOT-THA RESERVE,19960,SIMPSON FALLS PICNIC AREA,150421,TAP COMBINATION,Bubbler & Tap,-27.46757595,152.9582294,495873,6961774
TOOWONG,MT COOT-THA,D0249,MT COOT-THA RESERVE,19960,SIMPSON FALLS PICNIC AREA,150408,TAP COMBINATION,Bubbler & Tap,-27.46639332,152.9583412,495884,6961905
TOOWONG,MT COOT-THA,D0249,MT COOT-THA RESERVE,19960,SIMPSON FALLS PICNIC AREA,150414,TAP COMBINATION,Bubbler & Tap,-27.46698019,152.9585231,495902,6961840
TOOWONG,MT COOT-THA,D0249,MT COOT-THA RESERVE,19960,SIMPSON FALLS PICNIC AREA,150475,TAP COMBINATION,Bubbler & Tap,-27.46662817,152.9587662,495926,6961879
TOOWONG,MT COOT-THA,D0249,MT COOT-THA RESERVE,19960,SIMPSON FALLS PICNIC AREA,150407,TAP COMBINATION,Bubbler & Tap,-27.46634831,152.9587865,495928,6961910
TOOWONG,MT COOT-THA,D0249,MT COOT-THA RESERVE,19960,SIMPSON FALLS PICNIC AREA,150479,TAP COMBINATION,Bubbler & Tap,-27.46595112,152.9589182,495941,6961954
TOOWONG,MT COOT-THA,D0249,MT COOT-THA RESERVE,22283,SUMMIT & HOVEA TRACKS,136555,TAP COMBINATION,Bubbler & Tap,-27.48204832,152.9599752,496046,6960171
TOOWONG,MT COOT-THA,D0249,MT COOT-THA RESERVE,22283,SUMMIT & HOVEA TRACKS,136597,TAP COMBINATION,Bubbler & Tap,-27.48117266,152.9601678,496065,6960268
